Week 1,,,,,,,,,,,,,,,,
 ,M,T,W,H, , ,CHSM91,"Signs, Signals, and Codes (2026 version)",Block 6,Scoutcraft,,,15,15,0,
 ,M,T,W,H, , ,CHSM92,Small-Boat Sailing (2023 version),Block 4,Pinecrest,,,10,11,-1,
 ,M,T,W,H, , ,CHSM92,Small-Boat Sailing (2023 version),Block 5,Pinecrest,,,10,6,4,
 ,M,T,W,H, , ,CHSM94,Space Exploration (2026 version),Block 4,Nature,,,15,17,-2,
 ,M,T,W,H, , ,CHSM94,Space Exploration (2026 version),Block 6,Nature,,,15,17,-2,
 ,M,T,W,H, , ,CHSM69,SPL 101 (no badge),Block 3,Trail to Eagle,,,10,3,7,
 ,M,T,W,H, , ,CHSM68,Sustainability,Block 1,Nature,,,15,15,0,
 ,M,T,W,H, , ,CHSM68,Sustainability,Block 2,Nature,,,15,16,-1,
 ,M,T,W,H, , ,CHSM68,Sustainability,Block 3,Nature,,,15,14,1,
 ,M,T,W,H, , ,CHSM95,Swimming (2024 version),Block 3,Aquatics,,,10,10,0,
 ,M,T,W,H, , ,CHSM95,Swimming (2024 version),Block 4,Aquatics,,,10,10,0,
 ,M,T,W,H, , ,CHSM50,Theater (2021 version),Block 3,Scoutcraft,,,10,10,0,
 ,M,T,W,H, , ,CHSM50,Theater (2021 version),Block 4,Scoutcraft,,,10,10,0,
 ,M,T,W,H, , ,CHSM56,Trail to First Class,Block 2,Trail to Eagle,,,24,24,0,
 ,M,T,W,H, , ,CHSM56,Trail to First Class,Block 3,Trail to Eagle,,,24,24,0,
 ,M,T,W,H, , ,CHSM3,Trail to Second Class,Block 1,Trail to Eagle,,,20,11,9,
 ,M,T,W,H, , ,CHSM3,Trail to Second Class,Block 2,Trail to Eagle,,,20,16,4,
 ,M,T,W,H, , ,CHSM3,Trail to Second Class,Block 6,Trail to Eagle,,,20,23,-3,
 ,M,T,W,H, , ,CHSM2,Trail to Tenderfoot,Block 1,Trail to Eagle,,,20,16,4,
 ,M,T,W,H, , ,CHSM2,Trail to Tenderfoot,Block 3,Trail to Eagle,,,20,6,14,
 ,M,T,W,H, , ,CHSM2,Trail to Tenderfoot,Block 5,Trail to Eagle,,,20,14,6,
 ,M,T,W,H, , ,CHSM59,Welding (2012 version),Block 1,Home Improvement,,,16,16,0,
 ,M,T,W,H, , ,CHSM59,Welding (2012 version),Block 2,Home Improvement,,,16,10,6,
 ,M,T,W,H, , ,CHSM59,Welding (2012 version),Block 4,Home Improvement,,,16,16,0,
 ,M,T,W,H, , ,CHSM59,Welding (2012 version),Block 5,Home Improvement,,,16,16,0,
 ,M,T,W,H, , ,CHSM96,Wilderness Survival (2026 version),Block 1,Scoutcraft,,,15,13,2,
 ,M,T,W,H, , ,CHSM96,Wilderness Survival (2026 version),Block 4,Scoutcraft,,,15,9,6,
 ,M,T,W,H, , ,CHSM96,Wilderness Survival (2026 version),Block 5,Scoutcraft,,,15,15,0,
 ,M,T,W,H, , ,CHSM54,Wood Carving (2015 version),Block 1,Handicraft,,,10,10,0,
 ,M,T,W,H, , ,CHSM54,Wood Carving (2015 version),Block 3,Handicraft,,,10,12,-2,
 ,M,T,W,H, , ,CHSM54,Wood Carving (2015 version),Block 4,,,,10,,10,
 ,M,T,W,H, , ,CHSM54,Wood Carving (2015 version),Block 5,,,,10,1,9,
 ,M,T,W,H, , ,CHSM54,Wood Carving (2015 version),Block 6,Handicraft,,,10,12,-2,
Total ,,,,,,,,,,,,,6890,1559,,
, Less than 25% of class remains available for registration.,,,,,,,,,,,,,,,
, Less than 5% of class remains available for registration.,,,,,,,,,,,,,,,
Period Schedule,,,,,,,,,,,,,,,,
09:00 AM - 10:00 AM: Block 1,,,,,,,,,,,,,,,,
09:00 AM - 05:10 PM: Drop-In,,,,,,,,,,,,,,,,
10:00 AM - 11:00 AM: Block 2,,,,,,,,,,,,,,,,
11:00 AM - 12:00 PM: Block 3,,,,,,,,,,,,,,,,
01:30 PM - 02:30 PM: Block 4,,,,,,,,,,,,,,,,
02:50 PM - 03:50 PM: Block 5,,,,,,,,,,,,,,,,
04:10 PM - 05:10 PM: Block 6,,,,,,,,,,,,,,,,
Grand Total Seats Taken,,,,,,,,,,,,,,5505,,
Week 6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Min,Max,Nbr,Nbr,
,,,,,,,,,,,,Class,Class,Seats,Seats,
Su,M,T,W,Th,F,Sa,Class #,Class Name,Period,Room,Instructor,Size,Size,Taken,Open,
 ,M,T,W,H,F, ,CHSM74,Advanced Astronomy (no badge),Block 5,,,,10,10,0,
 ,M,T,W,H,F, ,CHSM74,Advanced Astronomy (no badge),Block 6,,,,10,10,0,
 ,M,T,W,H, , ,CHSM11,Advanced Metalworking (no badge),Block 6,Foxfire,,,8,8,0,
 ,M,T,W,H, , ,CHSM12,American Heritage (2014 version) / Scouting Heritage (2014 version),Block 2,Foxfire,,,15,11,4,
 ,M,T,W,H, , ,CHSM32,American Indian Culture (2024 version),Block 1,Foxfire,,,15,15,0,
 ,M,T,W,H, , ,CHSM32,American Indian Culture (2024 version),Block 3,Foxfire,,,15,14,1,
 ,M,T,W,H, , ,CHSM75,Archaeology (2021 version),Block 4,Foxfire,,,12,12,0,
 ,M,T,W,H, , ,CHSM75,Archaeology (2021 version),Block 5,Foxfire,,,12,13,-1,
 ,M,T,W,H, , ,CHSM1,Archery (2025 version)- Qualify 4,Block 1,Archery Range,,,5,5,0,
 ,M,T,W,H, , ,CHSM1,Archery (2025 version)- Qualify 4,Block 2,Archery Range,,,5,5,0,
 ,M,T,W,H, , ,CHSM1,Archery (2025 version)- Qualify 4,Block 3,Archery Range,,,5,3,2,
 ,M,T,W,H, , ,CHSM8,Archery (2025 version)- Qualify 5,Block 1,Archery Range,,,5,5,0,
 ,M,T,W,H, , ,CHSM8,Archery (2025 version)- Qualify 5,Block 2,Archery Range,,,5,4,1,
 ,M,T,W,H, , ,CHSM8,Archery (2025 version)- Qualify 5,Block 3,Archery Range,,,5,5,0,
 ,M,T,W,H, , ,CHSM9,Archery (2025 version)- Qualify 6,Block 1,Archery Range,,,5,5,0,
 ,M,T,W,H, , ,CHSM9,Archery (2025 version)- Qualify 6,Block 2,Archery Range,,,5,5,0,
 ,M,T,W,H, , ,CHSM9,Archery (2025 version)- Qualify 6,Block 3,Archery Range,,,5,3,2,
 ,M,T,W,H, , ,CHSM14,Astronomy (2022 version),Block 1,Nature,,,15,16,-1,
 ,M,T,W,H, , ,CHSM14,Astronomy (2022 version),Block 2,Nature,,,15,15,0,
 ,M,T,W,H, , ,CHSM14,Astronomy (2022 version),Block 4,Nature,,,15,16,-1,
 ,M,T,W,H, , ,CHSM6,Backpacking (2024 version) & Hiking (2023 version),Block 2,Scoutcraft,,,15,13,2,
 ,M,T,W,H, , ,CHSM15,Camping (2024 version),Block 3,Excursions,,,15,17,-2,
 ,M,T,W,H, , ,CHSM15,Camping (2024 version),Block 4,Excursions,,,15,16,-1,
 ,M,T,W,H, , ,CHSM76,Canoeing (2024 version),Block 2,Aquatics,,,10,10,0,
 ,M,T,W,H, , ,CHSM98,Citizenship in the Nation (2022 version),Block 2,Trail to Eagle,,,15,15,0,
 ,M,T,W,H, , ,CHSM77,Citizenship in the Nation (2022 version),Block 2,Trail to Eagle,,,15,16,-1,
 ,M,T,W,H, , ,CHSM77,Citizenship in the Nation (2022 version),Block 4,Trail to Eagle,,,15,17,-2,
 ,M,T,W,H, , ,CHSM77,Citizenship in the Nation (2022 version),Block 5,Trail to Eagle,,,15,15,0,
 ,M,T,W,H, , ,CHSM98,Citizenship in the Nation (2022 version),Block 5,Trail to Eagle,,,15,15,0,
 ,M,T,W,H, , ,CHSM78,Citizenship in the World (2016 version),Block 4,Trail to Eagle,,,15,16,-1,
 ,M,T,W,H, , ,CHSM99,Citizenship in the World (2016 version),Block 4,Trail to Eagle,,,15,15,0,
 ,M,T,W,H, , ,CHSM78,Citizenship in the World (2016 version),Block 5,Trail to Eagle,,,15,16,-1,
 ,M,T,W,H, , ,CHSM78,Citizenship in the World (2016 version),Block 6,Trail to Eagle,,,15,15,0,
 ,M,T,W,H, , ,CHSM102,Citizenship in the World (2016 version),Block 6,Trail to Eagle,,,15,9,6,
 ,M,T,W,H, , ,CHSM20,Climbing (2017 version)- Qualify 4,Block 1,Climbing,,,4,4,0,
 ,M,T,W,H, , ,CHSM20,Climbing (2017 version)- Qualify 4,Block 2,Climbing,,,4,4,0,
 ,M,T,W,H, , ,CHSM20,Climbing (2017 version)- Qualify 4,Block 3,Climbing,,,4,4,0,
 ,M,T,W,H, , ,CHSM64,Climbing (2017 version)- Qualify 5,Block 1,Climbing,,,4,4,0,
 ,M,T,W,H, , ,CHSM64,Climbing (2017 version)- Qualify 5,Block 2,Climbing,,,4,4,0,
 ,M,T,W,H, , ,CHSM64,Climbing (2017 version)- Qualify 5,Block 3,Climbing,,,4,4,0,
 ,M,T,W,H, , ,CHSM65,Climbing (2017 version)- Qualify 6,Block 1,Climbing,,,4,5,-1,
 ,M,T,W,H, , ,CHSM65,Climbing (2017 version)- Qualify 6,Block 2,Climbing,,,4,4,0,
 ,M,T,W,H, , ,CHSM65,Climbing (2017 version)- Qualify 6,Block 3,Climbing,,,4,4,0,
 ,M,T,W,H, , ,CHSM21,Communication (2014 version),Block 1,Trail to Eagle,,,12,13,-1,
 ,M,T,W,H, , ,CHSM97,Communication (2014 version),Block 1,,,,12,12,0,
 ,M,T,W,H, , ,CHSM97,Communication (2014 version),Block 3,,,,12,12,0,
 ,M,T,W,H, , ,CHSM21,Communication (2014 version),Block 3,Trail to Eagle,,,12,11,1,
 ,M,T,W,H, , ,CHSM21,Communication (2014 version),Block 6,Trail to Eagle,,,12,14,-2,
 ,M,T,W,H, , ,CHSM97,Communication (2014 version),Block 6,,,,12,14,-2,
 ,M,T,W,H, , ,CHSM79,"Cycling (2026 version), Multisport (2026 version)",Block 1,Excursions,,,12,12,0,
 ,M,T,W,H, , ,CHSM79,"Cycling (2026 version), Multisport (2026 version)",Block 3,Excursions,,,12,6,6,
 ,M,T,W,H, , ,CHSM71,Electronics (2025 version),Block 3,Home Improvement,,,15,19,-4,
 ,M,T,W,H, , ,CHSM44,Entrepreneurship (2014 version) / Salesmanship (2023 version),Block 4,Trail to Eagle,,,15,18,-3,
 ,M,T,W,H, , ,CHSM24,Environmental Science (2023 version),Block 1,Nature,,,15,15,0,
 ,M,T,W,H, , ,CHSM24,Environmental Science (2023 version),Block 3,Nature,,,15,15,0,
 ,M,T,W,H, , ,CHSM24,Environmental Science (2023 version),Block 5,Nature,,,15,15,0,
 ,M,T,W,H, , ,CHSM80,Exploration (2026 version),Block 2,Scoutcraft,,,15,14,1,
 ,M,T,W,H, , ,CHSM80,Exploration (2026 version),Block 4,Scoutcraft,,,15,,15,
 ,M,T,W,H, , ,CHSM80,Exploration (2026 version),Block 5,Scoutcraft,,,15,15,0,
 ,M,T,W,H, , ,CHSM72,Fire Safety (2025 version),Block 6,Foxfire,,,15,19,-4,
 ,M,T,W,H, , ,CHSM27,First Aid (2024 version),Block 1,Aquatics,,,12,10,2,
 ,M,T,W,H, , ,CHSM27,First Aid (2024 version),Block 2,Aquatics,,,12,12,0,
 ,M,T,W,H, , ,CHSM27,First Aid (2024 version),Block 4,Aquatics,,,12,12,0,
 ,M,T,W,H, , ,CHSM27,First Aid (2024 version),Block 5,Aquatics,,,12,13,-1,
 ,M,T,W,H, , ,CHSM81,Forestry (2026 version),Block 1,Nature,,,15,15,0,
 ,M,T,W,H, , ,CHSM81,Forestry (2026 version),Block 3,Nature,,,15,14,1,
 ,M,T,W,H, , ,CHSM83,Game Design and Chess - Afternoon,Block 4,Scoutcraft,,,15,15,0,
 ,M,T,W,H, , ,CHSM82,Game Design and Chess - Morning,Block 2,Scoutcraft,,,15,14,1,
 ,M,T,W,H, , ,CHSM31,Geocaching (2019 version),Block 1,Excursions,,,15,13,2,
 ,M,T,W,H, , ,CHSM31,Geocaching (2019 version),Block 2,Excursions,,,15,15,0,
 ,M,T,W,H, , ,CHSM31,Geocaching (2019 version),Block 3,Excursions,,,15,13,2,
 ,M,T,W,H, , ,CHSM93,Geology (2026 version) & Soil and Water Conservation (2019 version),Block 2,Nature,,,15,8,7,
 ,M,T,W,H, , ,CHSM93,Geology (2026 version) & Soil and Water Conservation (2019 version),Block 5,Nature,,,15,15,0,
 ,M,T,W,H, , ,CHSA1,Introduction to Outdoor Leader Skills,Block 1,Trail to Eagle,,,30,12,18,
 ,M,T,W,H, , ,CHSM84,Kayaking (2020 version),Block 1,Aquatics,,,10,10,0,
 ,M,T,W,H, , ,CHSM86,Lifesaving - Afternoon,Block 4,Aquatics,,,10,10,0,
 ,M,T,W,H, , ,CHSM85,Lifesaving - Morning,Block 2,Aquatics,,,10,10,0,
 ,M,T,W,H, , ,CHSM87,Mammal Study/Fish and Wildlife management,Block 2,Nature,,,15,12,3,
 ,M,T,W,H, , ,CHSM87,Mammal Study/Fish and Wildlife management,Block 6,Nature,,,15,16,-1,
 ,M,T,W,H, , ,CHSM36,Metalwork (2008 version),Block 1,Foxfire,,,12,11,1,
 ,M,T,W,H, , ,CHSM36,Metalwork (2008 version),Block 2,Foxfire,,,12,12,0,
 ,M,T,W,H, , ,CHSM36,Metalwork (2008 version),Block 3,Foxfire,,,12,12,0,
 ,M,T,W,H, , ,CHSM36,Metalwork (2008 version),Block 4,Foxfire,,,12,12,0,
 ,M,T,W,H, , ,CHSM36,Metalwork (2008 version),Block 5,Foxfire,,,12,12,0,
 ,M,T,W,H, , ,CHSM73,Nuclear Science (2026 version),Block 3,Home Improvement,,,15,17,-2,
 ,M,T,W,H, , ,CHSM73,Nuclear Science (2026 version),Block 6,Home Improvement,,,15,15,0,
 ,M,T,W,H, , ,CHSM100,Nuclear Science (2026 version),Block 6,Home Improvement,,,15,8,7,
 ,M,T,W,H, , ,CHSM38,Orienteering (2013 version),Block 1,Scoutcraft,,,15,15,0,
 ,M,T,W,H, , ,CHSM38,Orienteering (2013 version),Block 3,Scoutcraft,,,15,16,-1,
 ,M,T,W,H, , ,CHSM40,Photography (2024 version),Block 2,Handicraft,,,12,13,-1,
 ,M,T,W,H, , ,CHSM40,Photography (2024 version),Block 4,Handicraft,,,12,16,-4,
 ,M,T,W,H, , ,CHSM41,Pottery (2009 version),Block 1,Handicraft,,,8,8,0,
 ,M,T,W,H, , ,CHSM41,Pottery (2009 version),Block 2,Handicraft,,,8,10,-2,
 ,M,T,W,H, , ,CHSM41,Pottery (2009 version),Block 3,Handicraft,,,8,9,-1,
 ,M,T,W,H, , ,CHSM41,Pottery (2009 version),Block 5,Handicraft,,,8,10,-2,
 ,M,T,W,H, , ,CHSM41,Pottery (2009 version),Block 6,Handicraft,,,8,8,0,
 ,M,T,W,H, , ,CHSM42,Rifle Shooting (2025 version)- Qualify 3,Block 1,Rifle Range,,,4,6,-2,
 ,M,T,W,H, , ,CHSM42,Rifle Shooting (2025 version)- Qualify 3,Block 2,Rifle Range,,,4,4,0,
 ,M,T,W,H, , ,CHSM61,Rifle Shooting (2025 version)- Qualify 4,Block 1,Rifle Range,,,4,4,0,
 ,M,T,W,H, , ,CHSM61,Rifle Shooting (2025 version)- Qualify 4,Block 2,Rifle Range,,,4,3,1,
 ,M,T,W,H, , ,CHSM62,Rifle Shooting (2025 version)- Qualify 5,Block 1,Rifle Range,,,4,3,1,
 ,M,T,W,H, , ,CHSM62,Rifle Shooting (2025 version)- Qualify 5,Block 2,Rifle Range,,,4,3,1,
 ,M,T,W,H, , ,CHSM63,Rifle Shooting (2025 version)- Qualify 6,Block 1,Rifle Range,,,4,4,0,
 ,M,T,W,H, , ,CHSM63,Rifle Shooting (2025 version)- Qualify 6,Block 2,Rifle Range,,,4,,4,
 ,M,T,W,H, , ,CHSM89,Rowing (2021 version),Block 1,Aquatics,,,10,6,4,
 ,M,T,W,H, , ,CHSA2,Scoutmaster Specific,Block 6,Trail to Eagle,,,30,17,13,
 ,M,T,W,H, , ,CHSM90,Search and Rescue (2026 version),Block 1,Excursions,,,10,2,8,
 ,M,T,W,H, , ,CHSM7,Shotgun Shooting (2014 version)- Afternoon,Block 4,Shotgun Range,,,15,8,7,
 ,M,T,W,H, , ,CHSM4,Shotgun Shooting (2014 version)- Morning,Block 1,Shotgun Range,,,15,7,8,
 ,M,T,W,H, , ,CHSM91,"Signs, Signals, and Codes (2026 version)",Block 1,Scoutcraft,,,15,10,5,
 ,M,T,W,H, , ,CHSM91,"Signs, Signals, and Codes (2026 version)",Block 6,Scoutcraft,,,15,15,0,
 ,M,T,W,H, , ,CHSM92,Small-Boat Sailing (2023 version),Block 4,Pinecrest,,,10,6,4,
 ,M,T,W,H, , ,CHSM92,Small-Boat Sailing (2023 version),Block 5,Pinecrest,,,10,9,1,
 ,M,T,W,H, , ,CHSM94,Space Exploration (2026 version),Block 4,Nature,,,15,15,0,
 ,M,T,W,H, , ,CHSM94,Space Exploration (2026 version),Block 6,Nature,,,15,18,-3,
 ,M,T,W,H, , ,CHSM69,SPL 101 (no badge),Block 3,Trail to Eagle,,,10,6,4,
 ,M,T,W,H, , ,CHSM68,Sustainability,Block 1,Nature,,,15,14,1,
 ,M,T,W,H, , ,CHSM68,Sustainability,Block 2,Nature,,,15,11,4,
 ,M,T,W,H, , ,CHSM68,Sustainability,Block 3,Nature,,,15,15,0,
 ,M,T,W,H, , ,CHSM95,Swimming (2024 version),Block 3,Aquatics,,,10,9,1,
 ,M,T,W,H, , ,CHSM95,Swimming (2024 version),Block 4,Aquatics,,,10,10,0,
 ,M,T,W,H, , ,CHSM50,Theater (2021 version),Block 3,Scoutcraft,,,10,11,-1,
 ,M,T,W,H, , ,CHSM50,Theater (2021 version),Block 4,Scoutcraft,,,10,13,-3,
 ,M,T,W,H, , ,CHSM56,Trail to First Class,Block 2,Trail to Eagle,,,24,16,8,
 ,M,T,W,H, , ,CHSM56,Trail to First Class,Block 3,Trail to Eagle,,,24,12,12,
 ,M,T,W,H, , ,CHSM3,Trail to Second Class,Block 1,Trail to Eagle,,,20,10,10,
 ,M,T,W,H, , ,CHSM3,Trail to Second Class,Block 2,Trail to Eagle,,,20,11,9,
 ,M,T,W,H, , ,CHSM3,Trail to Second Class,Block 6,Trail to Eagle,,,20,20,0,
 ,M,T,W,H, , ,CHSM2,Trail to Tenderfoot,Block 1,Trail to Eagle,,,20,15,5,
 ,M,T,W,H, , ,CHSM2,Trail to Tenderfoot,Block 3,Trail to Eagle,,,20,9,11,
 ,M,T,W,H, , ,CHSM2,Trail to Tenderfoot,Block 5,Trail to Eagle,,,20,13,7,
 ,M,T,W,H, , ,CHSM59,Welding (2012 version),Block 1,Home Improvement,,,16,16,0,
 ,M,T,W,H, , ,CHSM59,Welding (2012 version),Block 2,Home Improvement,,,16,16,0,
 ,M,T,W,H, , ,CHSM59,Welding (2012 version),Block 4,Home Improvement,,,16,16,0,
 ,M,T,W,H, , ,CHSM59,Welding (2012 version),Block 5,Home Improvement,,,16,16,0,
 ,M,T,W,H, , ,CHSM96,Wilderness Survival (2026 version),Block 1,Scoutcraft,,,15,10,5,
 ,M,T,W,H, , ,CHSM96,Wilderness Survival (2026 version),Block 4,Scoutcraft,,,15,16,-1,
 ,M,T,W,H, , ,CHSM96,Wilderness Survival (2026 version),Block 5,Scoutcraft,,,15,15,0,
 ,M,T,W,H, , ,CHSM54,Wood Carving (2015 version),Block 1,Handicraft,,,10,11,-1,
 ,M,T,W,H, , ,CHSM54,Wood Carving (2015 version),Block 3,Handicraft,,,10,10,0,
 ,M,T,W,H, , ,CHSM54,Wood Carving (2015 version),Block 4,,,,10,,10,
 ,M,T,W,H, , ,CHSM54,Wood Carving (2015 version),Block 5,,,,10,,10,
 ,M,T,W,H, , ,CHSM54,Wood Carving (2015 version),Block 6,Handicraft,,,10,12,-2,
Total ,,,,,,,,,,,,,8635,1562,,
, Less than 25% of class remains available for registration.,,,,,,,,,,,,,,,
, Less than 5% of class remains available for registration.,,,,,,,,,,,,,,,
Period Schedule,,,,,,,,,,,,,,,,
09:00 AM - 10:00 AM: Block 1,,,,,,,,,,,,,,,,
09:00 AM - 05:10 PM: Drop-In,,,,,,,,,,,,,,,,
10:00 AM - 11:00 AM: Block 2,,,,,,,,,,,,,,,,
11:00 AM - 12:00 PM: Block 3,,,,,,,,,,,,,,,,
01:30 PM - 02:30 PM: Block 4,,,,,,,,,,,,,,,,
02:50 PM - 03:50 PM: Block 5,,,,,,,,,,,,,,,,
04:10 PM - 05:10 PM: Block 6,,,,,,,,,,,,,,,,
Grand Total Seats Taken,,,,,,,,,,,,,,7067,,

--